course_code,competency,competency_score,keyword_score,total_score
COMM 382/COMR 382,Communication skills,0.4428876648572358,0.453797040337866,0.4483423525975509
COMM 382/COMR 382,Decision-making skills,0.5701199644668535,0.8265751234509728,0.6983475439589132
COMM 382/COMR 382,Planning and project managing skills,0.39140509020283143,0.41338094967332756,0.4023930199380795
COMM 382/COMR 382,Networking skills,0.12601803393441846,0.20187697339464317,0.1639475036645308
COMM 382/COMR 382,Negotiating skills,0.16283717717636714,0.3161713270978494,0.23950425213710827
COMM 382/COMR 382,Self-Aware,0.4001790407029065,0.6007216559215025,0.5004503483122045
COMM 382/COMR 382,Enterprising Traits,0.5776874826035716,0.5127763084389947,0.5452318955212831
COMM 382/COMR 382,Self-Directed,0.0897017949345437,0.5313561924479224,0.31052899369123305
COMM 382/COMR 382,Teamwork,0.38727282326329837,0.10339439093579793,0.24533360709954816
COMM 382/COMR 382,Uncertainty Management,0.2722366345115006,0.5071574854241176,0.3896970599678091
"COMM 383, prev 386D",Entrepreneurial Mindset,0.4674186632037163,0.3245508102700114,0.39598473673686385
"COMM 383, prev 386D",Opportunity Recognition,0.3324010670185089,0.4104228299111128,0.37141194846481085
"COMM 383, prev 386D",Market Research,0.26604374311864376,0.26506900414824486,0.2655563736334443
"COMM 383, prev 386D",Product Development,0.23000591434538364,0.2547973252367228,0.24240161979105324
"COMM 383, prev 386D",Marketing,0.21400282625108957,0.22856774926185608,0.22128528775647283
"COMM 383, prev 386D",Business Modeling,0.3178096506744623,0.27276391349732876,0.29528678208589554
"COMM 383, prev 386D",Managerial Decision Making,0.29533700831234455,0.4618616383522749,0.3785993233323097
"COMM 383, prev 386D",Legal ,0.1520468182861805,0.19163360528182238,0.17184021178400144
"COMM 383, prev 386D",Financial Decision Making,0.24543056823313236,0.19227828620932996,0.21885442722123116
"COMM 383, prev 386D",Observational skills,0.5006746593862772,0.7182469815015793,0.6094608204439282
"COMM 383, prev 386D",Creativity skills,0.38765324652194977,0.45264440029859543,0.4201488234102726
"COMM 383, prev 386D",Problem solving skills,0.4825214482843876,0.3894110368564725,0.43596624257043004
"COMM 383, prev 386D",Communication skills,0.5249563883990049,0.3426586801651865,0.43380753428209573
"COMM 383, prev 386D",Decision-making skills,0.39425474777817726,0.6794201470911503,0.5368374474346638
"COMM 383, prev 386D",Planning and project managing skills,0.3933595884591341,0.3768869498744607,0.3851232691667974
"COMM 383, prev 386D",Networking skills,0.27632631827145815,0.3477834714576602,0.3120548948645592
"COMM 383, prev 386D",Negotiating skills,0.21847575600259006,0.3720966540277004,0.29528620501514524
"COMM 383, prev 386D",Self-Aware,0.4458990078419447,0.7230709753930569,0.5844849916175008
"COMM 383, prev 386D",Enterprising Traits,0.5357523672282696,0.2859746628382709,0.41086351503327023
"COMM 383, prev 386D",Self-Directed,0.04569910984719172,0.5861128475517035,0.3159059786994476
"COMM 383, prev 386D",Teamwork,0.41428285278379917,0.2854833509773016,0.3498831018805504
"COMM 383, prev 386D",Uncertainty Management,0.3711621928960085,0.48955320194363594,0.4303576974198222
COMM 386L,Entrepreneurial Mindset,0.34924538619816303,0.12506537657463923,0.23715538138640113
COMM 386L,Opportunity Recognition,0.41815801057964563,0.26014098356245086,0.33914949707104824
COMM 386L,Market Research,0.21157100657001138,0.21966650511603802,0.2156187558430247
COMM 386L,Product Development,0.08908852841705084,0.049583639891352504,0.06933608415420167
COMM 386L,Marketing,0.09012917082873173,0.03375597291596932,0.06194257187235053
COMM 386L,Business Modeling,0.1565237755421549,0.12160195835167542,0.13906286694691516
COMM 386L,Managerial Decision Making,0.11921902187168598,0.13954054249916226,0.12937978218542412
COMM 386L,Legal ,0.1534677316667512,0.03733491276943823,0.09540132221809472
COMM 386L,Financial Decision Making,0.29121248656883836,0.2791899447911419,0.2852012156799901
COMM 386L,Observational skills,0.27422950108302757,0.49324450083076954,0.38373700095689856
COMM 386L,Creativity skills,0.14722085496759973,0.20276443706825376,0.17499264601792675
COMM 386L,Problem solving skills,0.2792462413199246,0.20527660229709,0.2422614218085073
COMM 386L,Communication skills,0.4883886193856597,0.5545526761561632,0.5214706477709115
COMM 386L,Decision-making skills,0.2142187828430906,0.6987740332260728,0.4564964080345817
COMM 386L,Planning and project managing skills,0.1465884477365762,0.28495609387755394,0.21577227080706507
COMM 386L,Networking skills,0.15029607340693474,0.1398109489819035,0.14505351119441912
COMM 386L,Negotiating skills,0.05536997033050284,0.17453617230057716,0.11495307131554
COMM 386L,Self-Aware,0.33115332666784525,0.6678133420646191,0.49948333436623216
COMM 386L,Enterprising Traits,0.4432969503104687,0.23079668637365103,0.33704681834205985
COMM 386L,Self-Directed,0.13008480772259645,0.2999533927650191,0.21501910024380777
COMM 386L,Teamwork,0.3602566597983241,0.08902424375992268,0.2246404517791234
