program,skill,competency_score,keyword_score,aggregate_score
e@UBCV,Entrepreneurial Mindset,0.742356629621598,0.7780490056160958,0.7602028176188469
e@UBCV,Opportunity Recognition,0.5073313888522887,0.3908032907112952,0.4490673397817919
e@UBCV,Market Research,0.28328167816864386,0.5379831890665716,0.4106324336176077
e@UBCV,Product Development,0.2601403515004823,0.5774100295478298,0.41877519052415607
e@UBCV,Marketing,0.27780110760021115,0.325745087481224,0.30177309754071757
e@UBCV,Business Modeling,0.37019131721688375,0.6806235532126119,0.5254074352147479
e@UBCV,Managerial Decision Making,0.21422274900420057,0.2683659796753237,0.24129436433976215
e@UBCV,Legal ,0.23202456023183562,0.12900480093254196,0.18051468058218878
e@UBCV,Financial Decision Making,0.2921962143755668,0.40342846137261196,0.3478123378740894
e@UBCV,Observational skills,0.32336854718385205,0.7235907268139624,0.5234796369989072
e@UBCV,Creativity skills,0.4933228831618063,0.7873134777670906,0.6403181804644484
e@UBCV,Problem solving skills,0.4602250082478408,0.46216264565385157,0.4611938269508462
e@UBCV,Communication skills,0.31925843809280663,0.6697643360783977,0.49451138708560216
e@UBCV,Decision-making skills,0.3705789428204298,0.6440563336495431,0.5073176382349864
e@UBCV,Planning and project managing skills,0.3794296256627046,0.5326819461920569,0.4560557859273807
e@UBCV,Networking skills,0.43798898472901315,0.7201831754176847,0.5790860800733489
e@UBCV,Negotiating skills,0.22490989338726766,0.44049716812949025,0.33270353075837894
e@UBCV,Self-Aware,0.458877460610482,0.9406244831700479,0.6997509718902649
e@UBCV,Enterprising Traits,0.6289223478205742,0.6756453783281388,0.6522838630743565
e@UBCV,Self-Directed,0.11222369304948276,0.6310445326230218,0.3716341128362523
e@UBCV,Teamwork,0.626631218098825,0.7203349442251267,0.6734830811619759
e@UBCV,Uncertainty Management,0.264278476746122,0.6113065788221936,0.4377925277841578
e@UBCO,Entrepreneurial Mindset,0.7401240082348094,0.7830748610636767,0.7615994346492431
e@UBCO,Opportunity Recognition,0.496210713596905,0.4855968689217287,0.4909037912593168
e@UBCO,Market Research,0.21363793883253546,0.48885153234004974,0.3512447355862926
e@UBCO,Product Development,0.3300057015080443,0.6025552734294358,0.46628048746874007
e@UBCO,Marketing,0.30490521848482516,0.4072181572178927,0.35606168785135894
e@UBCO,Business Modeling,0.47228029764750423,0.6848558332113659,0.5785680654294351
e@UBCO,Managerial Decision Making,0.36829504129641194,0.38109139889916954,0.3746932200977907
e@UBCO,Legal ,0.29862327194389177,0.11121960291091133,0.20492143742740154
e@UBCO,Financial Decision Making,0.5082858985509066,0.4649158696479657,0.48660088409943614
e@UBCO,Observational skills,0.45554859760929556,0.6082012670881608,0.5318749323487282
e@UBCO,Creativity skills,0.6244120120125658,0.8503926782047048,0.7374023451086353
e@UBCO,Problem solving skills,0.5681280406082377,0.5994418149485308,0.5837849277783842
e@UBCO,Communication skills,0.5041212518425549,0.7423459659604466,0.6232336089015007
e@UBCO,Decision-making skills,0.5442917745779542,0.7148658966316896,0.629578835604822
e@UBCO,Planning and project managing skills,0.4986139110782567,0.5415892276693793,0.520101569373818
e@UBCO,Networking skills,0.5672921498908716,0.721152718671981,0.6442224342814263
e@UBCO,Negotiating skills,0.2722715130623649,0.50375895114506,0.38801523210371247
e@UBCO,Self-Aware,0.5278829642954994,0.9464267983156092,0.7371548813055543
e@UBCO,Enterprising Traits,0.6248120919746512,0.6800746374270495,0.6524433647008503
e@UBCO,Self-Directed,0.14403123205856366,0.6247218330116833,0.3843765325351235
e@UBCO,Teamwork,0.5812260140390957,0.6243594192406711,0.6027927166398834
e@UBCO,Uncertainty Management,0.4185274760512745,0.6384842465905582,0.5285058613209164
UBC Social Enterprise Club,Entrepreneurial Mindset,0.7369018452508109,0.7443696217877525,0.7406357335192817
UBC Social Enterprise Club,Opportunity Recognition,0.3422023632696697,0.28231971710920334,0.3122610401894365
UBC Social Enterprise Club,Market Research,0.0797773158410564,0.285391061433724,0.1825841886373902
UBC Social Enterprise Club,Product Development,0.17701439852161066,0.3450889933322157,0.2610516959269132
UBC Social Enterprise Club,Marketing,0.15020068648404308,0.17105830001777836,0.16062949325091072
UBC Social Enterprise Club,Business Modeling,0.24092040197657688,0.2958954210792269,0.2684079115279019
UBC Social Enterprise Club,Managerial Decision Making,0.18222333424325501,0.14278091756360872,0.16250212590343188
